PlantId,PlantName,Cap_kW,District,Province,lat,lon,precision,source,matched_to
1,Chilime Plant,22100.0,,Province 1,28.1576851,85.3316721,exact,OSM,The Chilime Hydro Power Plant
5,Piluwa Khola HP,3200.0,Sankhuwasabha,Province 1,27.2675,87.324,river,"on Piluwa Khola, nearest Sankhuwasabha",Piluwa Khola
6,Ridi Khola HP,2400.0,Palpa,Lumbini,27.9343,83.4402,river,"on Ridi Khola, nearest Palpa",Ridi Khola
7,Upper Bhotekoshi,45000.0,Sindhupalchok,Bagmati,27.8729,85.8821,river,"on Bhote Koshi, nearest Sindhupalchok",Bhote Koshi
8,Aandikhola HP,9400.0,,Province 1,,,none,,
9,Khimti I HP,60000.0,Dolakha,Bagmati,27.5499382,86.1678367,exact,OSM,Khimti I Hydropower Plant
10,Indrawati 3,7500.0,Sindhupalchok,Province 1,27.8057,85.5754,river,"on Indrawati River, nearest Sindhupalchok",Indrawati River
12,Chaku Khola  Small HP,3200.0,Sindhupalchok,Province 1,27.9059127,85.7563055,district,district centroid,Sindhupalchok
13,Sunkoshi Small HP,2600.0,,Province 1,27.78194444,85.91944444,exact,Wikidata,Sunkoshi Small Hydropower Plant
14,Khudi HP,4000.0,,Province 1,,,none,,
15,Mardi Khola,4800.0,Kaski,Gandaki,28.35538,83.88128,exact,Wikidata,Mardi Khola Hydropower Station
16,Thoppal Khola HP,1650.0,,Province 1,,,none,,
17,Ilam Puwa Khola HP,6200.0,,Province 1,,,none,,
18,Modi  HP,14800.0,Parbat,Province 1,28.272614,83.7413603,exact,OSM,Modi Khola
19,Kaligandaki 'A' HP,144000.0,,Province 1,27.9310015,83.615009,exact,OSM,Kaligandaki A Hydropower Plant
20,Middle Marsyangdi HP,70200.0,Lamjung,Province 1,28.188636,84.420104,exact,OSM,Middle Marsyandgi HEP
21,Tatopani HP,2000.0,Myagdi,Province 1,28.5439443,83.4632633,district,district centroid,Myagdi
22,Marsyangdi HP,69000.0,,Province 1,27.8762861,84.5393265,exact,OSM,Marsyangdi Hydro Power
